Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
370,T1,"Yes, because I think she is married and she shou;ld look over her own family.","No, because they should understand their own father and love each other and live","No, because she is making her own fault and she should improve herself.",,,,,"Yes, because she should give her child a chance to learn and go ahead in the right way.",,
371,T1,"Yes, because they are married for 10 years and are husband and wife- so beating Vinita is justififed.","No, because Tushar is their son. They love each other and if Tushar takes the mother then they wont be able to stay without each other.","Yes, because Gauri is a girl. She should wear girls type  clothes  and girls cannot dress up like boys.",,"No, because as he grows he will behave more like others. If he stays at home people will  call him mad because its women's job to stay at home.",,,Roshni should take care of home and younger siblings but also focus on her education.,,"No, because Seema's mother should take leave for a day to take care of baby. Seema should be sent for picnic."
372,T1,"No, because Vinita was Suresh's wife. If she hadnt done what she did, she wouldve been alive.","Yes, because Tushar feels bad. But if they leave father alone- father will die.","Yes, because girls should not dress like boys but behave like girls.",,,,,,,"Yes, because if the kid is hungry then Seema can feed him milk. But brother cannot feed him. SO Seems is asked to stay at home."
373,T1,"Yes, because Vinita is wrong. SHe deserves a beating.",,,,,,,,,
374,T1,"Yes, because Vinita had an affair. Her husband is justified.",,"Yes, because she wore short clothes- boys will whistle at her",,"Yes, because he has to be a good man when he grows up. If he continues to play then others will tease him with derogatory names.",,"Yes, because if her husband asks her to leave-then she should leave. If theres a problem, then she should work.","Yes, because the mother is right that Roshni should work at home and ARun should focus on studies.","Yes, because if her husband says so, she should stay at home and atke care of kids.","Yes, because the brither wants to play cricket and mother had to work. So she should stay back and take care of the baby"
375,T1,"Yes, because Vinita did go to the neighbour's home- there is no misunderstanding.",,"Yes, if Gauri doesnt indulge in fashion, then boys will not tease her. She doesnt have to go to neighbor's then.",,Yes,"Yes, if Priya's brother accompany , then no one will harrass her., Mother will feel nice if he drops her at the program and also picks her up.",,"Yes, becasue Arun should be educated and sister thinks he should be succesful.",Yes,
376,T2,,"No, because they have stayed together for so many years",,,"Yes, because when he grows up he may become of a third gender and his family is worried about this.",,,,,"Yes, because a girl can take care of a small baby"
377,T2,,,,,,,,,,
378,T2,,,,,,,,,,
379,T2,,,,,,,,,,
380,T2,,,,,,,,,,
381,T2,,,,,"Yes, He plays because he likes to play",,,,,"Yes, because she should stay at home"
382,T2,,,,,,,,,,
383,T2,,,,,,,,,,
384,T2,"Yes, because she should have told this before marriage and rejected the marriage and even after accepting marriage, she was loving someone else","Yes, inspite of saying that he loves me and everyone should stay together, she should go to their village",,,"Yes, because is he plays like a girl, when he grows up, society will make a lot of fun of him",,,,"No, because within their family, if she is at home, she will manage the house and give birth to a child",
385,T2,"Yes, because a person hits if he does not work",,,,"Yes, because he shouldn't do like this","Yes, she should not go outside",,,,"Yes, she should not go"
386,T2,"Yes, because he was insulted",,,,"Yes, because he is grown up now and hence what his parents are saying is appropriate",,,,,
387,T2,,,,,,,,,,
388,T2,"Yes, because Vinita should understand that I am married to this person and that he can handle me.","No, because we love our mother and father. The father takes care of the mother and if Tushar's mother leaves his father, he will not get his father's love","Yes, because girls should not wear half clothes. If she likes half clothes, then she should wear it when she is at home. Boys eve-tease her because she wears half clothes everyday.",,,,,,,
389,T2,"Yes, because if she had good behavior she would have not done that",,,, ,,,,,
390,T2,"Yes, because Suresh felt insuled about this",,"It is Gauri's mistake to wear Jeans,Shirts, Skirts, Dresses and T-Shirts",,,,,,,
391,T2,"No, because there would have been misunderstanding or he would have doubted her","No, because how much ever work a person does, he takes out his anger on his people at home.",,,,,,,,
392,T2,"Yes, because even though she had a husband, she is going with someone else","Yes, they should wait for some time","Yes, if one wears small clothes, then there will be shame on them",,"Yes, it is a girl's game. Maybe in the future he could become a girl",,"Yes, Vishal should ask his wife to stay at home while he earns","Yes, Roshni should do the work her mom does","Yes, Sarika should sit at home while Vinod works; why does she need to work",
393,T2,,"Tushar's mother is right because if she leaves and goes, their family will not be together and when Tushar's father comes home from work, Tushar should press his father's feet",,,"Yes, because Sushil is ten years old and if he doesn't play games that boys play, he will become like a girl and hence his parents are right","Yes, her brother is concerned about her and hence does not give her permission. People eve tease and hence she does not get permission",,,,
394,T2,"Yes, Sunita is culpable in this case, because she has left her husband and loves some other person. Because of this Suresh is insulted and hence kills her.","No, because whenever Tushar's father gets annoyed, he hits his wife, then she has to tolerate it. Because he also loves her that much","Yes, Gauri should wear proper clothes because if she had, boys would have not whistled at her","No, because he does not want to lose his friends and she should improve all his friends",,,,,"No, because Sarika could face a lot of burden",
395,T2,,,,,,,"Yes, what he said is right. Only one person should work, the other person should manage the house",,,"Yes, At home there are only two kids, so the brother cannot manage the bay"
396,T2,"Yes, because she was with Suresh for 10 years and should have not loved someone else","No, because both mother and father will determine the future of Tushar and both of them cannot stay away form each other.",,"No, because harrasing girls is a crime, but Shoaib cannot leave his friends because friends are our lives.",,,,,,
397,T2,"Yes, because even though she had a husband, she loves someone else","Yes, she should not leave him because mother and father love each other","Yes, because she has done what is unacceptable to the society and hence she has to bear the pain",,,,"Yes, this should be done by the man",,,
398,T2,,"No, because he gets annoyed after coming from work",,,,,,,,
399,T2,,"No, because even though he hits, he is his father. He hits, yet he loves and that is his right","Yes, because she knows that boys tease, so she should not wear small clothes",,,,,,,
400,T3,She loves him.,,Yes- Poonam is Wrong.,,Yes. His parents are right.,Yes. - She should not go outside at eveining. ,Yes. - She should not go outside at eveining. ,Yes. - Roshani should handle house and her brother should study.,Yes. - Priyanka should look at house.,
401,T3,,,,,Yes- Because his parents are concern about his future. They are worried if he remains same then his future will be in trouble. ,,,,,
402,T3,,,No,NA,Yes,NA,,,NA,NA
403,T3,,,,,,,,,,
404,T3,,,,,,Answer not mentioned.,,,,
405,T3,,,,,,,,,,
406,T3,,,,,,Yes- Because society around is not good..,,,,
407,T3,,,,,,No- She should stop going to collenge.,,No-  No proper answer.,,
408,T3,,,,,,,,,,
409,T3,,No- He should explain his father that voilence is not good. and why he treat tushars mother like this? Tushar should try to clam down his father.,No- Gauri should register complaint of them. Or she should explain that she is like a sister.,No- Shoaib should explain to his friends that they also have a sister. And we should trate other girls like our sister,,,,,,
410,T3,Yes,,,,,,,,,
411,T3,Yes.,No- Because tushar's mother is right. And she love her husband.,,,,,,,,
412,T3,,,,,,,,,,
413,T3,Yes- Suresh has been cheated. His wife loves his neighbour and hence suresh is right.,Yes- Tushar is right.,Yes- Gauri should not wear these kind of clothes.,,,,,,,
414,T3,Yes- Its Vinita's Fault. After 10 years of marriage she is in love with another guy.,,No- She can wear clothes as per her choice.,,No- Parents should explain him this kind of behaviour is not right.,No- Somebody should go with her.,,,,
415,T3,,,,,,,,,,
416,T3,,No- Father is hardworking so he is write.,,,"Yes- If he will be habitual to these things, it will be harmful for parents in future.",,,,,
417,T3,,"No- Tushar does not understand, if they leave their father, who will run house?",,Yes- No answer,,,,,,
418,T3,,,,,,,,,,
419,T3,,"No- Because family is important. Even if he is being voilent with his wife, he is still her husband.",,,,,,,,
420,T3,,,,,Yes- Because they dont think he is right.,,Yes- Because its men's responsibility to take care of financial needs of family. She should do household chores.,,,
421,T3,,No- They should stay with father.,,,,,,,,
422,T3,,No- Because that is his family and they should not go anywhere.,,, ,Yes- Her parent's thinking is right. Getting out at night is dengerous for girls.,,,,
423,T3,,"No- This kind of matters happen in family, he should understand his father.",No- If she likes to wear she can.,No- He should stop those boys from doing this.,,,,,,
424,T3,,,,,Yes- They care for him.,,,,,
425,T3,,,,,Yes- Because his age is to flirt with girls.,No- Because girls have right to go where she wants to go and flirt with boys.,,Yes- No answer.,NA,NA
426,T1,Yes- She should not behave like that.,No- They are from same family so they should stay together.,,,,Yes- Its better if she stays at home.,,,Yes- She should stay at home for her brother.,
427,T1,Yes- Its priyanka's fault. She loves someone else.,No- He is giving wrong advice. This happened in every family. One should understand.,,Yes- ,,,,,,
428,T1,Yes. Because she is Married.,No- Whatever happen though he is father of Prathmesh. His mother says this.,,,,,,,,
429,T1,Yes- After marriage only husband has right on her.,,No- She has some choices. Let her express it. But she should  live as an  Indian womann. Women are pride of india.,,,,,,,
430,T1,"Yes- Its ok to beat her, She is already married, then whats the point  of an affair.",,,,Yes- There is possibility that he will  behave like girl. Agree with parents.,,,,,
431,T1,,,,,,,,,,
432,T1,,,,,,"Yes- If she would stay at home, nobody will trouble her.",,,,
433,T1,,,Yes- She should not wear fashionable clothes.,,Yes- Because his parent dont let him play with dolls.,,,Yes- She needs to help her mother.,Yes- She needs to pay attention to her children.,
434,T1,,No- Disagree with Tushar.,,,,,,,,
435,T1,,,,,,,,,,
436,T1,,,,,,,,,Yes- She should stay at home and start working after her baby get turns to be big.,
437,T1,,,,,,Yes- Boys tease her but how to control them?,,,,
438,T1,,No- Even if he beat-up he loves her.,,,,,,,,
439,T1,Yes- Because she is having an affair.,No- because he love her and take care of her food.,Yes- Gauri cant wear that type of clothes. She is also not allowed to  do this type of fashion.,,Yes- Sushil's parents thinks he will grow up and do anything to his sister.,Yes- stay at home was the best way to protect her.,,,Yes- Arun is right. She cant go outside. Arn has to work.,
440,T1,,No- Tushar should not do this. his parents love each other a lot so they fight.,,,,,,,,
441,T1,Yes- Because she was loving another man so her husband hit her.,,,,,"Yes- If somebody tease her, then disputes will happen so she should not go.",,,,
442,T1,,No- Tushar should not do that. His parents love each other and also fights.,,,,,,,,
443,T1,,No- She should live with her husband.,Yes- Because she wears short and tight cloths.,,Yes- He should become brave like man.,Yes- Boys tease during night time.,,Yes- House work is for the girls.,Yes- She should stay at home.,
444,T1,,,No- She should not wear such clothes.,Yes- He should not trouble his friends.,Yes- He should not dress up doll.,Yes- Because girls should not go out at night.,Yes- Madhuri should do all work of house.,Yes- everyone should take care of mother if she is not well.,No- Sister can take good care of baby rather boy.,
445,T1,,No- He insulted his mother.,Yes- Because its her fault. She has to understand.,Yes- Because they hae to understand.,,Yes- There will be so many drunked boys.,,,,
446,T1,Yes,No- No answer.,No- No answer.,,Yes- Because his parents are worried about him. They want him to became a real man.,Yes- Her brother thinks that if girls go out at night boys will tease them.,,Yes- Its her responsibility to take care of home and baby.,Yes- Because she is married she needs to take care of house instead of working.,Yes- Sima sugests that her elder brither can take care of baby so he rejects.
447,T1,,No- If tushar and his mother leave the house who will take care of tushar's father.,,,Yes- Because its not ok to play with dolls like girls.,,,Yes- Because their mother dont fall sick everyday.,,
448,T1,Yes- Because she loves someone else.,No- Because he is telling to leave his father.,No- No proper answer.,Yes- Teasing girls is not right.,Yes- Question repeated.,"Yes- If girls go out, people will tease them.",,,,Yes-
449,T1,,No- They should understand his father.,,NA,No- He can change as he grows.,,,,,
450,T1,,,,,,,,,,
451,T1,No- Because he is blamimg her. ,,,,,NA,,NA,,
452,T1,No- Because he is blamimg her. ,,,,,,,Yes- Arun should not work in house. His sister should take care of house as well as baby.,Yes- Vinod is right. She has given birth so its her resposnsibility to take care of children.,
453,T2,,,,,,,,,,
454,T0,yes,no,yes,not ticked,not ticked,not ticked,not ticked,not ticked,not ticked,not ticked
455,T0,Yes because she is having an affair,,Yes because of her dressing,yes he not like his friends behaviour does,Yes because of he is boy and he is play with dolls with his sister ,they are not allowed to go outside at night,Yes finally responsibllity is on man shoulder ,,yes after marrdge they have to take care of house ,yes her younger brother habbit of manisha
456,T0,Yes they have been married for ten years ,not tiked,,,,,,,,
457,T0,yes beat her,yes this is 7 birth bonding (indian custom) this is why husband loves wife,yes boys harrsed her due to her dressing,,yes boy should go outside not sit at home,yes at evening boy tease her,,,ramesh is correct wife should do household chores,
458,T0,Yes because of the affair,no his mother want to left,,,yes dont play with dolls,yes boys will tease her,,yes girles should do only household chores ,,
459,T0,yes because she is in  another relationship ,,yes because of dressing,yes his frend are not listen to him,yes because he is a boy and he has two sister ,Yes because that was evening time,yes because mahesh responsiblity to full fill needs,yes akshay is elder so he has to focus on study,yes because after marriage women should take care of the house,yes her mother is going to work and brother is going to play cricket
460,T0,,,yes because of dressing,,yes because he is boy and he have two sister ,,,yes akshay is elder so he have to focus on study ,,
461,T3,,,,,,,,,,
462,T0,yes because when they are married then they cannot act like that (have an affair with another person),mother father both love each other so prathmesh responsiblity to solve this problem ,,,,,,,,
463,T1,yes because when they are married then they cannot act like that (have an affair with another person),,yes because she is wearing like this,yes (not Clear),no he can play with boys,yes because nirmala is a girl if they are going out they haarrased,yes,no they are young they should not be told to do anything,,yes because its only a girls responsibility to take care of children
464,T0,,,,,,,,,,
465,T2,,,,,,,,,,
466,T2,,,No - because if she wants to learn about fashion then she should not listen to her neighbours and she should listen to her parents.,,"Yes, it is correct because they must be worried about the future life of the child, this is why their behaviour is correct.",,,,,
467,T2,,Yes - Because he gets angry due to his work he beats his wife.,,,,,,,,
468,T2,,,,,,,,,,
469,T2,,,,,,,,,,
470,T2,Yes - Suresh loves Vinita but Vinita loves their neighbour. Because Suresh has been tricked he should get a divorce from her. ,"No - Because Tushar's father insults his mother as he is tired when he comes back for dinner from work, but Tushar's mother does not agree with Tushar that they should leave and go to their village. ",,,,,,,,
471,T2,,,,,,,,,,
472,T2,,,,,,,,,,
473,T2,,,,,,,,,,
474,T2,,,,,,,,,,
475,T2,,No - Tushar's father gets angry and beats Tushar's mother. Tushar's mother bears with this beating because she and Tushar's father are married. ,,,,,,,,
476,T2,,,,,,,,,,
477,T2,,,"Yes, because Gauri should wear clothes that cover her entire body then nobody will trouble her.",,"No, Sushil should not play with dolls and only girls should play with dolls.",,,,,
478,T2,,No - Because Tushar's father cannot live alone.,,,"Yes - Becuase Tushar is 10 years old, if he plays with dolls with his sister he will grow up to be like a girl.",,,,,
479,T2,,,Yes - Gauri should not wear jeans.,,Yes - Because he will grow older and he should now go to school.,,,,,
480,T2,,,,,,,,,,
481,T2,,,,,,,,,,
482,T2,,,There is no need to wear fashionable clothes,,No - If he plays with his sister and her dolls then he will grow up to be like a girl.,"Yes - Boys are useless, there is a lot of teasing that happens outside.",,,,
483,T2,,No - They cannot leave the father and go as he loves all of them.,,,Yes - He will act the same when he grows older.,,,Yes - She should look after the chidlren and Vinod should work outside the home.,,
484,T2,,No. Because Tushar is separating the family.,Yes. Gauri should not be wearing Denims/Western wear,,,,,,,
485,T2,,No. Because fathers are irritated off the work pressure.,,,,,,,,
486,T2,,"No. Because the man is after all, Tushar's father. And Tushar's mother should also understand that the father has work pressure.",,,,,,,,
487,T2,,,,,,,,,,
488,T2,Yes. Because one should not have a relationship like this even after being already married to someone.,,,,,,,,,
489,T2,Yes. Because a wife should love her husband and if she ends up falling for someone else then it vandalizes your reputation.,,Yes.,,Yes.,Yes.,,Yes.,Yes. Vinod is right at stopping Sarika from working.,
490,T2,,,,,,,,,,No. Seema can come back from the picnic and then do the house-hold work as well.
491,T2,,No. Bacause Tushar's father come back exhausted from work so it is alright for him to show some of his anguish.,,,,,,,,
492,T2,,No. Bacause Tushar's father come back exhausted from work so it is alright for him to release some anger at home.,,,,,,,,
493,T2,"Yes. Because, Suresh's wife has conned him. Suresh has been framed.","No. Because if they go home, Tushar's father will be further angry and he will hit both, Tushar and his mother.",,,,,,,,
494,T2,,,,,No. Because he will become better when he is older. He might be playing with the dolls because his friends might not be involving him with themselves.,,,,,
495,T2,,,,No. Because Shohib's friends might endup fighting with him.,,,,,Yes. Because who will look after home otherwise.,
496,T2,,No. Because Tushar's father is irritated because of work.,,,,,,,,
497,T2,,No. Because Tushar's mother loves his Father.,,,Yes. Because he will play with dolls even when he is a grown up.,,Yes. Because people will speak ill of this.,,Yes.,
498,T2,Yes.,No. Tushar is wrong and his mother is right.,,Yes. Because what Shohib said is right.,,,,,,
499,T2,"Yes. Since Vinita loves their neighbor, I felt Vinita is the culprit.",Yes. If Tushar's mother leaves then his father will be enraged. Family needs to stick together.,"No. Since she wears clothes like that, boys tease her.",,,,,,Yes.,
500,T1,,No. Prathameshś mother should explain to her husband ,,,,Yes. Not Clear,Yes. Not Clear. ,,,Yes. Saturdays her mother goes for work. She shoul take care of the baby and stay at home.
501,T1,,,,,,,,,,
502,T1,,"No. Pratemesh should explain to his father, make him understand and give them a second chance. ",,,,"Yes. If she goes out at night, boys will tease her. So, do not send her outside at night. ",,,,
503,T1,,No. Mother is correct and saying good. Father loves them,"No. Because of her dress, they tease her",,Yes. Aakash has a 6 year old sister. That is why he is playing with the dolls.,,,,,
504,T1,,,,,"Yes. He is a boy, he should not play with dolls. ",,,,,
505,T1,Yes. She should not do this. ,Yes. Stay at home with mother and father. Dont go out in the village ,Yes. She is going to the streets wearing short dresses,,"Yes. Boys do not play with dolls, they play other games.",Yes. Boys tease girls thats why they should not go outside. ,Yes. She should stay at home. Amir can earn the money. ,,"Yes. She should listen to her husband, according to the husband. ",
506,T1,,,No. ,,Not clear,,,,,
507,T1,,,,,Yes. Once he grows he will work and earn money for parents. He cant earn money by clapping hands (reference to transgenders),,Yes. (not translated),,,
508,T1,Yes. It is wrong to love two people at the same time. It is ruining both their lives.,No. All should live together.,No. It is her choice. But do not do this in the community. ,,Yes. Playing with dolls is not good. Anyone can doubt him.,,,,,
509,T1,Yes. Because of her fault ,No. His mother thinks that Pratemeshś father loves her a lot. ,,No. Rohit should leave the companion of such friends. ,,,,,Yes. Mahindra cant take care of the house alone. Kamal should also be responsible for the house. ,
510,T1,No. He should not doubt her. It is wrong to beat up.,,,,,,,,,
511,T1,"No. Even after getting married, she is in another relationship. This is why he is beating her. ",No. His faher gets angry and beats her up.,,,,,,,,
512,T1,,,,,,,No. NA ,Yes. She thinks educated person is a bigger person. ,Not translated not ticked Y/N,No. She should understand that her mother will have tpo go for her work. 
513,T1,,"No. If he shares some  message with his father, then father will not get angry.",,,,,,,,
514,T3,,"No, Because he want to him mother away from father. Mother and Father are meant to be be for lives together",,,,,"No, Madhuri should ask VIshal that she can work and earn for society",,,
515,T3,,"No matter how things are, they are still husband and wife. They love each other",,,"Yes, he should not play with dolls but play outdoor games so that he becomes fit and get introduced to other people",,,,,
516,T3,,"No, Tushar's father comes home tired, if he is removing all his work frustration on mother, then mother should ask him if there is any tension",,,,,,,,
517,T3,,,,"yes, [copied question]",,"Yes, [copied question]","Yes, [copied question]","Yes, [copied question]",,"Yes, [copied question]"
518,T3,,,,,,,When they have children Madhuri will have to leave the job and take care of children,"Yes, should do household chores, take care of siblings and cook","Yes, sarika shoel start business but also take care family",
519,T3,,,,,,"What her brother is saying right, boys can harass his sister",,,,
520,T3,,,,,,,,,,
521,T3,,"No, Tushar should understand his father is the only earning member. He should face the situation at home",,,,,,,,
522,T3,,"No, Becasue they should not leave the father",,,,,,,,
523,T3,,I think they should live together,She should wear longer/ full clothes as boys whistle and tease her,,He shoul stop playing this way. if continues he will become mad,,,,She should do household chores and tak care of children otherwise who will take care of them,
524,T3,,,,,,,,,,
525,T3,,,,,,,,,,
526,T3,Because her husband felt insulted,"No matter how much he hits her he is her husband , it his right",,,He is a boy and he is behaving like a girl; If he continues it willaffect him,,She must try to convince her husband but if doesnt agree then she should listen to him,,,
527,T3,,,,,,,,,,
528,T3,,"No, because mother wants to live together",,,he should not play with the dolls as he is grown up,,,,,
529,T3,,"no, he back answers his parents",,,,,,,,
530,T3,,"No, its his parents",,,,,,,,
531,T3,,One should undeestan the father,,,,,,,,
532,T2,,Because there should be a fatherly figure in home; otherwise the woman is gets dirty looks.,,,,,,,,
533,T2,,,,,,,,,,
534,T2,Yes. Vinita's behaviour was wrong.,,,,,,,What is wrong if the girl works when mother is unwell.,,
535,T2,Because if she was in  love with the neighbour; she should have married in first place.,No because he is her husband so she will not leave the house.,,,,,,,,
536,T2,,Because It is not correct for them to leave the house. They are married. He doesn't have right to behave so.,,,,,,,,
537,T2,,Because when mother goes outside;people look down at her.,,,,Priya's brother Rohan is correct.She is alone and the boys will tease her so she should not be allowed to go out.,,Her mother is ill and there is only one male in house so she should do the household chores.,,
538,T2,,Tushar is correct .Due to daily humiliation his mother does not agree with his son and tells him that she could bear it .,,Shohib should not live with those friends .They tease girls and touch them .Shohib dosen't like it and tells so to them but they mock at him .So I think he should mingle with his friends. ,Sushil is ten years old and has two sisters who play with dolls. His parents worry about him.,Brother says Priya should not go out at night. She dosen't listen. Mother also ask her to not to go out as the boys will  tease her.  ,Vishal is correct that he is a shop owner and earns better so she shuld not go out for earning. ,,,
539,T2,,Because Tushar's opinion is not correct. His mother thinks that his family should be together and make his father understand.,,,,,,,,
540,T2,,,,,,,,,,
541,T2,,,,,,Priya is 19 yrs old should not go out at night.,,,,
542,T2,,,,,Because a ten year boy should play sports on grounds and not behave like small ones by sitting with girls.,,,,,
543,T2,,,,,, ,,,,
544,T2,They are married since 10 years. He had thought that she is good so he had married her.,"If the mother goes to the village;she thinks how my husband will live, he will not be able to live without me.",,Shohib has right to talk as they should help him.,,,,,,Both-Seema and elder brother have right to work and take care of the baby.
545,T2,,Because Tushar's mother says her husband ;Tushar's father love very much.,Gauri should not wear fashionable clothes.,,Sushil plays with dolls along with his two sisters. His parents want to stop him.,,,Roshni's mother is ill; should not take care of her little sister and home.,,
546,T2,,Because Tushar's mother doesn't want to leave her husband.,She should not wear such dresses.,Because there is male-female equality,,,,,,
547,T2,She should understand that she is married and should not do so.,Tushar's mother loves his father so she doesn't leave her.,She should wear full dress so that the boys will not tease her.,,,,Vishal should earn more.,,,
548,T2,Because she is married and she has a husband. So she should understand why she is doing so and should not do so.,,,,If Shushil learns good things he will be able to do some course when he grows up.So his parents are correct.,,,Because she works in home ; the two sisters will get food.,Sarika should do the household work and it is her responsibility to give birth to children.,Because it is ok if she doesn't go for picnic but she should take care of the baby.
549,T2,,If they go to village then he will be too angry.,,,Because he is a boy.,To be home is a way to be safe.,,,What he says is right.,Because she is a girl.
550,T2,"If she is not involved in this, that menas if she doesn't  love him.He only stares at her; so her husband misunderstood the situation.",,,,,,,,,
551,T2,,If they go away; they will to make some improvement.,,,,,,,,
552,T2,,,,,Because playing some doesn't make him a girl. He should be allowed to play as per his choice.,,,,,
553,T1,"Yes, she doesn’t have to do that. Her parents married her with a good person. So no need to do this",,,,,,,,,
554,T1,"Yes, because she should have told him before marriage, told her family and married the other man instead.","No, because marriage is a bond of 7 lives and no matter how much a husband beats his wife, she must tolerate it and stay with him for her entire life.","Yes, because she wears short skirts and t-shirts boys whistle at her and tease her so girls must not wear such clothes.",,"Yes, because when Vishal grows old he might still be the same and so his parents are worried, that's why they must stop him from playing with dolls.",,,"Yes, because household chores should be done by girls and she should also focus on studies with her brother.","Yes, Sarika should work as well as fulfill her household resposibility.","Yes, because she is the only elder one and she is a girl so she must pay attention to the home."
555,T1,"Yes, because she is having an affair that is why he beat his wife.",,"Yes, because she shouldn't do all this.",,"Yes, because he is not a girl",,"Yes, Madhuri should stay at home.",,"Yes, Sarika should listen to Arun.","Yes, she should listen to her father"
556,T1,,"No, because his father is working all day only for them and if he comes home and behaves angrily that's okay. If he leaves his father, his father might do anything with himself.",,,"Yes, because if he continues he will develop a liking towards it and become feminine.",,,,,
557,T1,,,"Yes, because wearing T-shirts and short skirts is not the tradition of Maharashtra.",,,"Yes, because girls should not go out at night. We should protect them from being teased by boys.",,"No, she should first cook and then focus on her studies.",,
558,T1,"Yes, because she was in an affair that is why he beat her.","No, because she should  tolerate her husband's behavious","No, she should not do this.",,"Yes, because he is not a girl, he is a boy","Yes, her mother is saying this for her own good","Yes, Madhuri should stay at home or the shop.","Yes, Roshni should take care of her younger siblings after studies","No, she should behave, not become a hair dresser and not argue with her husband.","Yes, she should "
559,T1,"Yes, copied from paragraph.",,"Yes, copied from paragraph.","Yes, copied from paragraph.","Yes, copied from paragraph.","Yes, copied from paragraph.","Yes, copied from paragraph.","Yes, copied from paragraph.","Yes, copied from paragraph.","Yes, copied from paragraph."
560,T1,"No, there must is a misunderstanding.",,"Yes, boys watch they’re bodies",,"Yes, his parents think when he goes to school, grows old he should take care of them.","No, in the evening street boys eve tease the girls so it is not safe","No, the wife should do household chores only.","Yes, mother thinks that arun will go to school and make a living and take care of them.","Yes, she should take care of her in-laws and children.",
561,T1,"Yes, as a wife she should not even talk to another man, he she's having an affair!","No, because if we are wrong our mothers beat us but never asks us to leave the home, married people should live together.",,,"Yes, because in childhood, children behave the way they want, and if Vishal keeps behaving like a girl his body might release female hormones and he might do the same when he grows up.",,,,"Yes, Sarika should listen to Arun. So his feelings are not hurt.",
562,T1,"Yes, because she was in an affair that is why he beat her.","No, she could not bear her husband's behaviour","No, she should not do this.",,"Yes, because he is not a girl, he is a boy","Yes, her mother is saying this for her own good","Yes, Madhuri should stay at home or the shop.","Yes, Roshni should take care of her younger siblings after studies","No, she should behave, not become a hair dresser and not argue with her husband.","Yes, she should "
563,T1,Yes. Because there is possibility of fault in him. So she did it.,No. It is wrong to leave father and go to village.,Yes. It is wrong to wear such dresses.,,"Yes. Do not behave like this, learn good things.",Yes. Outsider bous are not good. Don't go outside at night.,"Yes. Madhuri should stay at home, Anil is earning money.","Yes. Mother can't work, that's why she is telling work to Rohini.","Yes. Do household chores, since husband is doing outside work.","Yes. Elder brother would like to play cricket, so who will take care of yonger brother."
564,T1,No. She doesn't have any affair to anyone. There is no flaw in her. I disagree.,"No. Because parent behave properly. Do not do this, Behave good with all. Live with parents.",Yes. If she wears girls dress then she will face such problem. After wearing such short dresses she will face problem.,,,,,,,
565,T1,Yes. Because he loves her.,,,,,,,,,
566,T1,,No. Tushar's parent love each other so mother is right.,Yes. She roams around in Jeans and T-shirt. That's her fault.,,,"Yes. Now a days, goons, bad boys are around the main square and they tease girls.",,,,Yes. Because boys teases girls.
567,T1,No. Because Suresh don't know about her affair with neighbour. So I disagree.,,"No. Her parents should tell not to wear such dresses, There is no fault of Gauri.",,,"Yes. At evening or night, they may face such bad behavior. So she should listen to her mother. I agree with it.",,Yes. Household chores should be done by women. If mother is not well then girl should work. Because she is a woman. I agree.,No. She should take care of house. Should give birth to children. He is a man. Women can take care better. I disagree.,
568,T1,"Yes. Suresh has done right thing. If Vinita had told him before marriage, he would's have done that.",,,,,"Yes. Her brother did right thing as at night thieves, goons humiliate girls, rape, kidnap. So keep her safe at home.",,Yes. Right because only girls did household things. Boys should have to work.,,"Yes. Right, boys teases girls."
569,T1,,,Yes. Wearing such dresses will cause teasing. She should wear Sari or Salwar-Kameez.,,,,,,,Yes. Seema should take care of younger brother. It's not big matter if you don't go picnic for some year.
570,T1,"Yes. If husband goes out, it is bad to have affair. That's why it's good to beat.","No. Tushar's mother love a lot, so she denied.","Yes. Because she dressed like, she is teased.",,,Yes. Priya should not go out. Boys tease at evenings,Yes. Madhuri has to stop outside work and fulfill household things.,Yes. Roshani should do household chores. Taking care of younger sister is her responsibility.,Yes. Sarika should stop her beauti parlor work and take care of home. Babies should be taken care by mother.,Yes. Seema has to take care of younger brother.
571,T1,"Yes. He loves her a lot and such breach of trust got him angry, so he beat her up.","No. Love of husband and wife is immortal, so such quarrels and fights are normal.",,,"Yes. Parents are right. If he grows up with liking to wear girl's dresses and behave, who will be responsible?",,,,,
572,T1,Yes. She had affair and that got him angry. So he beat her up.,,,No. It's bad to be in company of such friends.,,,,Yes. Become a better person by studying.,Yes. It's wrong.,Yes.
573,T1,No. Because she is married and still in another relationship.,,,,,,,,,
574,T1,,,Yes. Because she wears short dresses.,"Yes. Because he stares at girls. After marriage, what if someone stares at his girls?",Yes. He might grow up behaving like girls.,,,,,
575,T1,"Yes. Eventhough she is married, she has an affair. That's why he beat her up.",,,,,,,,,
