Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
282,T3,"No, because instead of beating her he should have discussed this issue with her","No, because samir should explain his father",,,,,,,,"No, because if they send Nina outside, she will learn more about the outside world"
283,T3,,"No, because Samir should explain his father that do not insult his mother ","No, as the neighbors knew that boys are sexually harassing Poonam due to her clothes, they should inform police and file a complain against those boys and give them some punishment",,,,,,"No, because Priyanka can look after children, family and also can do jobs, so her husband also should help her. ","No, because her brother should look after the baby brother instead of playing cricket and Nina also can go and have fun on the trip."
284,T3,,"Yes, I am agree with Samir, he is correct",,,,,Mahesh should not behave like this because Nisha can also go to work,"No, Mother should distribute housechores to both of them and not only shruti","No, they both should work",
285,T3,"No, Ramesh should try to understand her and also try to explain to the  other guy with whom she has an affair","No, Samir need to talk and explain his father ","No, Need to talk with those boys and try to change their attitude towards girls",,,,,,"No, Ramesh should try to understand his wife and gave her some space",
286,T3,"No, Ramesh should try to understand her and stop her from doing this mistake",,,"No, Ganesh should talk with friends and ask them to not do such bad things, he should ask them what if your sister has to go through this?",,No,,"No, both boys and girls should get equal right of education",,
287,T3,,"No, because Samir should talk with his father and explain to him ",,"No, because Ganesh should protest them and try to explain the bad effects of sexual harassment of girls to his friends",,,"No, because if Nisha earns more money if will benefit her family so mahesh should not stop her from doing job.","No, because their mother should ask atleast some housechores to navnath, so that his sister's (shruti) will have less burden of chores.",,
288,T3,,,,,,,,,,
289,T3,,"No, samir should talk and explain to  his father ",,Ganesh should explain to his friends not to harass girls and if they didn't listen to him then he should inform his class teacher about it and also the parents of his parents.,,"No, because her teachers are with her so they will look after her and she will be safe in college.","No, they both are educated, so they can decide anything by discussing it together. ",,"No, women also has equal rights, so Priyanka can work before and after marriage also.","No, her brother can look after the baby and let nina to go to the trip."
290,T2,,No: I disagree with Tushar because Tushars mother is correct. One should explain to his mother and father ,,,"Yes, I agree with his parents because if he continues to play with dolls then his friends will tease him",,,,I disagree with him because she should be allowed to work ,I disagree with the father because she should go to Mahableswar
291,T2,,,"It is not her faut, she has the right to wear clothes",,,,,,,"I disagree with the father, she should go for the picnic"
292,T2,No she does not deserve to be hit because if I was in his place then i would have an  argument with her ,,,"He should not remain quiet, he should explain to his friends",I disagree with his parents because he should play childrens games ,,,,,
293,T2,"No she does not deserve to be hit. He should explain to her, but first think about it","I agree with Tushar, because he cannot see his mother being beaten by his father",,"He should not remain quiet, he should explain to his friends",,,,,,
294,T2,No she does not derserve to be beaten because he has heard about the affair he has not seen it ,I agree with Tushar because when his father hits his mother. He feels hurt ,,,,,"I disagree with the husband, she should explain to him",,"I disagree with the husband, she should ask her husband ",
295,T2,,,,,,"No it is not the only way to protect her because, her brother can go with her or she can go by herself. Boys tease girls anyway",,,,
296,T2,No she does not deserve to be hit. He first needs to ask the his wife,,,No Shohib should not stay quiet because shohib should explain to his friends. He should tell them that in your homes there are sisters and this should not be done ,No i do not agree with his parents because he likes to play with hsi isters and his family should let him play ,,,,,
297,T2,,,,,,,,,,
298,T2,No she does not deserve ot be hit ,I disagree with Tushar because she is not getting her right,,,,,,,,
299,T1,,,,,No I disagree with his parents because  you do not know what the small boy will become if he is playing with dolls,No that is not the only way to protect her becauser Priyas brother can go with her that can also protect her ,,,I disafree with Vinod because Sarika should explain that she can utilise her talent and support her family,I disagree with the father because if there is one girl in the family it does not mean that she should do all the household work . One day she can take out time and to have fun.  
300,T1,,,,,,,,,,
301,T1,No she does not deserve to be hit because he loves her,,,He should not be quiet he should explain to his friends to not do it ,No this is not the way to protect her because if it happens she should complain to the police ,,,I agree with the mother but Roshni shoul also go to school ,,
302,T1,,,,Shohib should not remain quiet because they tease girls and it is our duty to explain ,,,,,,
303,T3,"No, she does not derserve to be hit because Vinita has a right to love. If Suresh is abusive to Vinita then he should break his relationship with Vinita and Vinita should marry her boyfriend",,,,,I do not agree that this is the only way to protect her because I think one of the solutions is for one of the parents to go for the programme with her ,"I disagree with Vishal because if both work together, the home will get more money. ",I disagree with the mother because Arun can also help with the household chores and study as well,,
304,T3,,,,No he should not remain quiet. he should explain to his friends and tell his family,"No, I do not agree with Sushils parents because Shushil has the right to play with whatever he wants. I do not agree with Suhils parents behaviour",,,,No I disagree with Vinod: She she should work and do houshold chores,
305,T3,,,,No he should not remain quiet because it is not right to tease girls. He should explain to his friends that we also have sisters who are in the bus. If this happens to them then we get angry. ,"No, i disagree with the parents because Sushil is still small and he does not understand anything. His understanding will improve as he grows older ",No this is not the only way to protect her because Priya has the right to go out. Her brother should go along with her so that other boys do not touch her,,,"No, I disagree with Vinod because she has the right to open her own business. However she should take care of the house during the day. ",No I disagree with the father because the brother should look after the little child. If he does not play cricket for one day it is ok
306,T3,No she does not deserve to be hit because having an affair is natural ,,,"No he should not remain quiet, because Shohib should do good work",No i disagree with his parents because as he is young he does not have maturity,No it is not the only way to protect her because her family members can go along with her ,,,,
307,T3,, ,No it is not Gauris fault because Girls should  dress according to their ways ,No Shohib should not be quiet because Shohib should tell his friends and sometimes friends listen ,,No this is not the way to protect Priya because if Priya had taken her mother what sought of protection is that?,No I disagree with Vishal because if Mashuri works there will be money coming in the house ,,,
308,T3,No she does not deserve to be hit because Suresh beat her with interrogation ,,,,No I disagree with his parents because he has the right,No this is not the only way to protect her because she ahs the right to go out in the night. Her brother should go along with ther ,,,,I disagree with the father because Seema wants to go for the school trip but her family does not want to send her 
309,T3,,"Yes, I agree with Tushar because Tushars father hits his mother everyday. If Tushar's mother goes to the village for 3- 4 days then his farther will understand that there is no one in the house to listen to him",,,No I disagree with his parents because Sushil is a 10 year old boy,No this is not the only way to protect her because Priya's brother needs to go with her so that she will not be harassed ,,,,
310,T3,,,,No Shohib should not remain quiet because Shohib should talk to the police ,,,,No I disagree with their mother ,,
311,T3,"No Vinita does not deserve to be hit because, violence is not the solution, however I understand Suresh's anger",,,,,No it is not the only solution because he can also protect her by going along with her ,"No I disagree with Vishal because getting more money is not bad, this money can help out in the house",,,No I disagree with the father because the trip happens once but cricket can be played any time 
312,T3,,,,,,,,,,
313,T2,,,,,,,,,,
314,T2,,I agree with Tushar because if she is harassed then she should take the decision ,,No he should not remain quiet because he should tell the people in his house,No I disagree with his parents because he should do what he likes he is still small. When he is older he will understand ,Yes I think this is the only way to protect her becasue people in her house should have a little faith in her ,,,,
315,T2,,,,,,,I disagree with Visal becasue she can do better work than him ,,I disagree with Vinod because Sarika should force him otherwise all her time and money is wasted ,"No I disagree with the father because, her brother plays cricket everyday and she does not go to Mahableshwar everyday. "
316,T2,,,,,,,,,,I disagree with the father becasuse her brother can go play cricket later as well. She should go for the picnic
317,T2,,,,,,,,,,
318,T2,No it she does not derserve to be hit because Suresh should explain to her ,,No I disagree with Gauri because Gauri likes to dress fashionably however boys on the road tease her and hence this is not Gauris fault ,,,,,,,
319,T3,,,,"no, shoyeb not be quiet. shoyed should talk to his friend that , they have sister and mother at home. ",,,,,"no,not agree with vinod, because she can manage the job ans household chores.",
320,T3,,,,,,,,,,
321,T3,"No, she not be hit because he need to talk with his wife first. he should understand her and then solve the issue without hit.","No, not agree with tushar, because tushar can talk to his father oh shouting and iting her mother. solve the internal crises without fighting.",,,,,,No. there is love his boy & girl have not love so thats why wrong decision is not good.,,
322,T3,"Do not fight in this, letas explain.",,,,,,,,,
323,T3,"No, she wants to love him.","Yes, because the mother said that to love the father , the mother said that tushar said that tushar is the father who finally.",,,,,,"No, because the mother should pay close attention to him. she thinks she should pay more attention to her studies.",,
324,T1,He was married. But he should not do this,,,Because the boys were tesasing her. What they should do. She should take her father and mother.,He is small. Then he will not play. They should not do this.,Becasue where are the people in our house going? We should take him away with. Then she will be very good.,Madhuri has done a good job. SHe should be going to work.,We take her to hospital. We will help in the best way.,Sarika is going to be married. Her brother has to help,because her brother has play cricket everyday. But fpr a day do not play an help her sister.
325,T1,,,She can wear what she feels like.,Shoaib should tell them to not harrass girls.,,,She can work and take care of home and children.,Mother is wrong. Elder brother can also work.,"If she has the shop, she should take care of beauty parlour and home.",
326,T1,,Tushar's mother should not be subjected to violence.,,,,,,,"If both can earn, then expenses can be managed.",He should delegate work to all-i.e. ask both of them to work.
327,T1,Because she has been concerned into getting married.,,She should have freedom to wear fashionable clothes.,,,,Even she likes work. But she doesnt get work.,,,
328,T1,,,,,,Rahul should accompany Priya for the programme because those boys then will not tease her.,,,,
329,T1,If she married Suresh then why did she have an affair with the neighbor.,,,,Even if he plays with dolls he still will be a man. He will become a real man now.,,She should work. They can live in better house and lead a better life.,,,
330,T1,,,,,,Asking Priya to stay at home. I disagree.,,I disagree.,,I disagree with Seema's father.
331,T1,,,,Shoaib should complain to parents of his friends.,Vishal has his own liking. Parents should not worry about it. he is only 6. He doesnt even understand the play.,,,Girls have right to education.,,Elder brother should take care of younger sibling.
332,T1,,,,No because he should not stay with them.,,,,"No, Arun should do housework and also study.",,No because brother should take care of younger subling.
333,T1,,,,"No, Shoaib should not remain silent. He should explain to his friends that even we have mother and sisters. We should respoect women anbd should understand Shivaji's history- they will respect women on their own.",,,"NO because she should tell Anil trhat I understand your pain- what will the society say, what are the customs, traditions. But, there is inflation-the world is changing. We cant save with one income. We dont want to give our life to children.",,,No because it is one day of the year in Seema's life which is happy and isnecessary for Seema. Brother plays cricket everyday. He should give it a miss and Seema should be sent to picnic.
334,T1,No because Surseh is wring in beating his wife.,,,,,,,"No, because its wrong to ask Roishni to do all the work. He should also be asked to work.",,"No because instead of playing cricket, he should take care of younger sibling."
335,T1,,,,,No,,No because then there will be enough money.,No because he should also work,No because she has attended class for so many years. Why should it go waste. So she should go.,No because its just one opportunity to out with friends.
336,T1,,,,No because Shoaib doesnt like to harrass girls.,,,"Yes because if Madhuri works, she camn support family.",Yes because she can be educated.,Yes because Sareeka should also work.,No because briother can also take care of the baby.
337,T1,No becasue he should explain her.,,,,,No because police complain to be made.,No because even girls should work hard.,,No because everyone should work.,
338,T1,No because he should leave.,,,,,No because police complain to be made.,,No because both should work,,
339,T1,,,,,,,No because we should earn money.,No because even Roshni goes to work.,No because sarika should work and also do housheold chores.,No because seema should go for picnic
340,T1,,,,No because they should not harrass girls.,"No because he should do what ,akes him happy.",No because she wanted to go for the programme.She can be protected by other means.,,,,
341,T1,,,,No because Shoaib doesnt like his friends harrassing girls. If he makes them understand they will understand.,No,No,,"No becasue if she gives work to Roshni, then she cant study further but her brother can.",,
342,T1,,,,"No because he is still young, he should inform the elders.",,No because brother should accompany so that they dont harrass. ,No,,,No
343,T1,"Yes, because she must not be getting happiness from husband",,,,,No,No,,,No
344,T1,,,,No because Shoaib should not remian silent. He understands its wrong to harrass girls. His friends will also realise sooner or later.,No because Vishal is young. He doesnt understand the difference between man and woman- will understand when he grows up.,No because she shoyld be given confidence. Someone should accompany her.,,,,No.
345,T1,"No because Suresh should explain to her, make her understand.","Yes, because this is right. He should be understood.","No, its her choice and life.","Yes, they should be made to realise this mistake and consequences.","No, he will find his way.",,"No, because she should explain that everyone should work","No, because Arun should also help a bit",,"No, because at time of crises, further should be understood."
346,T1,,,,No because Shoaib's friend should not tease the girl. The other should understand that they also have sisters in their houses,,,,,"No, because even though she is married she has to give permission for that.","Yes, because school arranges the trip. So let her go for a trip/"
347,T1,,,,No because teasing girls is bad.,,"No, because mother should go with Priya.",,"No, because boys and girls are equal.",,
348,T1,,,,"No, because boys dont need to touch the gils. Shoaib should complain to the police and not keep quiet.",,,,"No, because Rposhani should go to school. ",,
349,T1,,,,No.,No,No,No because Madhuri should explain him that we may need money in future.,"No, because mother should ask everyone to work.",Both should work,No
350,T1,,,,Yes,,,Yes,,,
351,T1,No because he should explain her,,,No ,No because he will understand once he grows up,No because Seems should go- she might also be speaker,No because Madhuri should work.,No because both should do household chores,"No, because Sarika should work.","No, because Brother can also take care of the baby."
352,T1,"Yes, because Suresh should explain Sunita where is she doing wrong.",Yes,,"No, because Shoaib should explain to his friends.","No, because Vishal is young. He will cahnge once he grows up.","Yes, because mother and brother can accompany her.",,"No, everyone shpuld do household chores",,"No, because Seema's brother can take care of the baby."
353,T1,,,,"No, because even if Shoaib remians silent, he will be troubled and feel sad. Therefore, SHoaib should not remian silent.",No because Vishal is 6 years and he plays with dolls. But when he grows up he will be a big man.,No because she should not be allowed to go for the programe if she is part of it.,"No, because Madhuri should let Anil work. WHen they will be family the money wont be sufficient. How would they manage household exenses? Thats why Madhuri should also work.",,"No because, she should work. When she will leave, she can dulfill her childish wishes. So she should work.",No because Seema wishes to go for picnic. Father aand mother can take care of child. Seems should e allowed and I disagree with father.
354,T1,,,," No, because they look at girls and stalk them",No because they should not stop from playing.,"No, because she wasnt allowed for the programme.",,,"No, because when she will work,she will earn money.",
355,T1,,Yes.,,,,,,"No, because both should work at home.",,
356,T1,,,,"No, because how would they feel if SHoaib's sister ger teased. Shoaib needs to improve them","No, because parenst need not woory about this too much. They should belive in him. He should play","No, because parents hould go with her. Why they hurt them. What will happen if parents go with her.",,,,
357,T1,,,,"No because Shoaib's friends have to change their attitude. This bad habit should br removed. Like Shoaib, everybody should help girls.",,,,,,
358,T1,"Yes, because by beating nothing can happen. Lets speak with her parenst and take a decision.",,,"Yes, because he already told them if you dint stop to harrass trhe girl, I will leave your company.","No, because he is small. He doesnt know anything. All the kids in the world play with dolls.","No, because this is her wish. Her brother is also right. So with her brother annd mother, she can go.",,,,
359,T1,No because first he should make Vinita understand.,"Yes, because Tushar's mother should go luve in village, because there they will be safe.",,,,"No, because th broether should accompany her.",,"No, household chores is everyone's responsibility. Everyone should do it collectively.",,"No, because Seema's vbrother can take care of younger sibling. It is okay if he doesnt play cricket for a day."
360,T1,,,,"No, because if he remains silent. his friends will do something wrong. We have to stop this.",,,,,,"No, because girls can study and work at home as well. father should send her for picnic."
361,T1,,,,"No, because he should explain those boys.",,,,"No, because mother should tell them both.",,
362,T1,"No, because she should be explained.",Yes,,No,,No.,"No, because she should work",,,No
363,T1,,"No, because Tushar's father is very tired after work and removes his frustration on Tushar's mother. He should not do this But Tushar shoulkd also not think so.","No, because it is her will. It is not her fault. Boys whistle even at girls who wear salwar kameez because they think they are beautiful.",,,,,"No, because both sister and brother should work as mother is ill. ",,
364,T1,,,,,,,"No, because Madhuri has to earn more money than him. There is nothing that men get enough money from their work.",,,
365,T1,,"No, because Tushar's mother should not be insulted or beated up.",,"Yes, because what SHoaib is saying is not wrong.",,"Yes, because she shouldnt be harrassed.",,"No, because everyone has the right to education.",,
366,T1,,"Yes, because Tushar's mother is nervous. So he should not beat her- I agree with Tushar.",,,"No, because he is small and he can play. When he grows up, he will stop.",,"No, because she can go to work becasue f she needs money, he will  not give her.",,,
367,T1,,,,,,"No, because she should be brave and notr get scared and stay at home and tell this to her family.",,"No, because he should work at home alongwithstudies and help sistersd in all household chores.",,
368,T1,,,,,,"No, because its a good habit. Thats why she should be allowed.","No, because she should work and earn money",,,
369,T1,"No, because he should ask Vinita if she is not getting anything from him. WHy did she do this to him.",,"No, because everyone has their unique fashion. She likes to wear fashionable clothes. Uts not her fault.","No,  because Shoaib doesnt like their behaviour. He doesnt like harrassing girls. He should not be silent.",,"No, because Rahul can accompany her. But she should nopt be asked to stay back",,,,
370,T1,,,,"No, because with whom he is living they should be good or he will also start to do that. He should explain them.",,,"No, because Madhuri should do her work because she is working for their own family and not for herself.",,"No, because with responsibilities of a housewife, she should also carry on for her career and pay extra attention at home.",
371,T1,,,,"No, because he has the right to live. He should stop the bus and complain to the police.",,"No, because girls should stay out otherwise they wont progress.",,,"Yes, because she should take responsibility and start her business.",
372,T1,,,,No.,"Yes, because if Vishal continues to behave like this then he can also become a transgender. Therefore, I agree with Vishal's parenst.",,,"No, because Arun should be asked to do some work. If all work is done by Roshni, then Arun will not do anyrthing and he will be lazy when he grows up.",,
373,T1,,"Yes, because in the village his father wont be there and mother will be saved from violence and he can study well. ",,"No, because he should complain to the principal or stop meeting his friends.",,,,,"No, its Sarika's talent and if she is happy she can work as well as take care of the house.",
374,T1,,"Yes, because father beats his mother. Tushar is right.,",,"No, because he should complain to the teacher and if teacher doesnt do anytrhing, he can tell the principal.",,"No, because she should not stay at home. SHe should go out if that is important.",,,,
375,T1,,"Yes, because if Tushar's father stops drinking then he will not get angryor hit Tushar's mother and Tushar will study well.",,No,,,,,,"No, because if her brother doesnt play cricket for one day, then Seema can go for picnic."
376,T2,"No, Suresh should have explained to his wife instead of killing her",,,"No, because",,"No, because her brother can also go with her","No, because if both work, then more money will come in the house and the situation will be better","No, because the house belongs to everyone and everyone should do the house work","No, because she did the course for the sake of the house. If both worked, then a lot of money will come",
377,T2,"Yes, because every girl has a right to get married",,,,,,"No, because girls should also get all rights",,,"No, because she has the right to go for a picnic"
378,T2,,,,"No, he should tell them properly that this is a wrong way",,,,,,
379,T2,"No, because if it was like this, then before marriage she should have told this and then she would have not been killed",,,,,"No, she has a right to roam wherever she wants","No, she has a right to work",,"No, she has a right to work","No, because even though she wishes to, she is not allowed to go"
380,T2,"No, because she can get divorced as well",,"No, because she likes it","No, Shoaib should inform the school about this.","No, because he is small, and that's why he plays","No, because even she wants to go out for the party",,,"No, Vinod should allow her to start the parlour","No, she should also be allowed to go out"
381,T2,"No, because he did this based on what he heard from the neighbours",,"No, Gauri should wear those clothes according to me","No, I think that girls should touch boys",,,,"No, I feel that even he should help his mother and take her to the doctor and the cooking should be done by Roshni","No, she is right because she has the feeling to work",
382,T2,"No, because he did this based on what he heard from the neighbours","No, because Tushar's father should be told by explaining",,"No, I think Shoaib should explain to them",,,,"No, both of them should stay at home for 1-2 days and help their mother",,"No, I feel that she should tell her parents to tell her elder brother to look after the baby"
383,T2,"No, because he did this based on what he heard from the neighbours","Yes, because his father beats his mother","No, because she likes to wear clothes like other people","Yes, Shoaib is right that girls should not be harassed.","Yes, because he likes to play",,,,"No, because Sarika has the feeling to work","No, because she likes to go out"
384,T2,,,"No, because if she wants to learn about fashion, she should wear a saree and there should change into the fashionable clothes.","No, because he should explain to them properly that in place of the girls if it was their sisters could they have done that",,"No, because Rohan should drop her and pick her up from the programme","No, Vishal's salary is less than Madhuri's, but with Vishal's lesser salary, they cant run their family. Madhuri should lure him.",,,"No, because if Seema's elder borther does not play cricket for one day, what would happen?"
385,T2,,,"No, because she should not do like that","No, they should not do like that",,,"No, because if both work, then more money will come into the house",,"No, because she has done the course so she should do such work",
386,T2,,,"No, because wearing fashionable clothes is the fashion of today",,,"No, because Rohan should go with Priya. She should not miss the social program","No, because if both work, then more money will come into the house",,"No, because she has done the course so she should do such work","No, because her brother should look after the baby"
387,T2,,,,"No, because he should tell his friends that the girls are like their sisters and they should not trouble them",,"No, because we should have trust on her",,,,
388,T2,,,,"No, because he should tell his friends again. If they do not listen, then he should tell them again.","No, if he likes to play with dolls, he should be allowed to do so. When he becomes big, then he will realize that he has become big and that he has to look out for a job.","No, because if she has to go on Saturday, then her brother should go with her. She is not getting her rights","No, because women also have to fulfil the needs of the family",,"Yes, because at home there is a lot of work. Sarika should do the work at home and outside as well. And Vinod should also be working",
389,T2,,,,"No, he should not sit quiet. He should stop those boys and if they do not listen, he should tell those boys' parents",,,"No, Vishal may be feeling ashamed that his wife is earning more or his friends may say something, hence he did not allow her to work.",,,
390,T2,,,,"No, Shoaib should not remain quiet",,"No, because Priya should have the right to roam","No, Madhuri should also work","No, because Roshni and her brother should work equally","No, Sarika should work as well as manage the house","No, because Seema's father does not allow her to go and denies the right to roam"
391,T2,,,,"No, Shaoib thinks that the girl in front is my sister",,,,,"No, Sarika should explain to her husband well",
392,T2,,,,"No, they should understand that this is wrong and that a compaint can be registered.",,,,,,"No, if she wnats to go for a picnic she should go. She does not go for a picnic everyday"
393,T2,,,,,,,"No, she should do that work",,"No, Vinod should not do like that. Sarika should understand how to be behave outside.","No, she should help till her mother returns and her father should give her permission"
394,T2,,,,,"No, because he plays as per his choice and that his parents think he will become a girl, but there is nothing like this.","No, because they opine that she should not go for the social event.","No, because from Madhuri's salary the house can run a little bit but they get sufficient money for the family but Vishal rejects her decision to work","No, because her mother should evenly distribute the work",,"No, because she should get a chance to go outside"
395,T2,,,,,"No, he will play now, but when he grows up, he will forget everything",,,,,
396,T2,,,,,"No, because in childhood no one understands anything, and hence they play anything, but parents should not stop him from playing","No, because girls should not get scared and stay at home and instead should be told something about defending herself","No, because women can run the house. But just women have a greater salary, she should not say like that to Vishal",,,"No, because just as he sends his son to play cricket, he should send her for the picnic, otherwise he should keep his son to look after the baby"
397,T2,,,,,,,,,"No, because of one the house does not run. Both should be working","No, both of them should not be allowed to go outside. Both of them should be told to take care of the baby"
398,T2,,,,,"No, Sushil likes to play so he should be allowed to","No, because her brother can drop her and pick her up","No, because if both worked, then they would get more income","No, because even Arun can take care of his sister","No, because if both worked together, then they would get more money","No, because if one day her brother can stay home and look after their baby brother, then she can go"
399,T2,,,,,,,,,,
400,T3,,Family should live toghether.,No- He should have talk with his friends.,,,,,,,No- She should go for trip
401,T3,,Yes. His father should not do voilence with her mother. He should understand that if his behavoiur dosnot change then leaving the house is only solution.,,,,No- Her brother can give her company and protect her.,,,,
402,T3,No- Suresh should communicate with his wife.If she will not agree then he should tell his parents.,Yes- Tushar should explain to his father.,,,,,,,,
403,T3,No- Suresh should communicate with his wife.If she will not agree then he should tell his parents.,No- Because this will break up his parents relationship.He should explain his father.,,,Yes- Because his parents are concern about his future.,,,,,
404,T3,,No- Tushar needs to talk to his father.,,,,,No-  He has ego.,,,
405,T3,No- he should explain that she is married to him and how could she love another man?,No- Tushar needs to talk to his father.,,No- He can be voilent with his freinds but he should expalin them.,,,No- Madhuri should work.,No- Arun can take off for one day. Both can work in house.,,
406,T3,,No- Tushar should explain his father.,,,Yes- they dont want him to play with dolls as he is not baby.,,,,,
407,T3,,,,No- he should break friendship with his friends.,,,,,No- She can do business and household chores also.,
408,T3,No- He should think before getting voilent.,Yes- His father gets voilent with his mother so I think tushar is right.,,No. Troubling to girls are wrong.,No-  Friends are friends. He should play with them.,No- She will help everyone if she complete her education.,No- Vishal's salary is not enough.,,Yes- She should take care of baby.,
409,T3,,,,,No- Beacause he is small and anyways he is going to play with dolls so his parent are wrong.,No- If priya wants to go they should let her go. Her elder brother could go with her.,No- If both are working they will earn more money.,No- Both can take care of their sister and go to school also.,,
410,T3,,,No-  Attitude to look at her is bad.,No- He should explain his friends properly.,No- Beacause playing is children's right.,No- She should take her parent with her.,"No- Both belongs to house so if both are earning, it will helpful.",,,
411,T3,,,No- Its her life and she can live it on her conditions. If we restrict her she may go to police.,Yes- Because if she take help of law those boys will get arrested. Or she can take help of family.,No- They should explain him or they can take him for play outside.,,,,No- Working is good for her.,No- She should not be restricted by others.
412,T3,No- He should inquire first.,"No- Tushars mother is right. If she leave the house, who will look after her father.",,No-,,No- Girls have right to decide where they want to go.,,,,
413,T3,,,,Yes- He should explain his freinds.,No- his parents should explain him properly.,No- Priya's brother can go with her.,No- Vishal should let her wife work.,No- Her mother should let her finish her homework first and then she can take help in household work.,No- If she wants to work he should let her do. after work she can do household chores.,"No- Seema should go to trip, her brother can take care of baby."
414,T3,,No- Tushar mother doesnot agree with tushar because tushar father will be alone.,,Yes- Shoaib should make friendship with other boys.,,,No- Madhuri likes to work.,No- Roshani's brother should help.,,No- Seema's brother can take care of baby.
415,T3,,Yes- voilence is not needed.,No- Its her choice what to wear.,,,,No- Because woman has right to work. Madhuri should work.,No- Boys should do household chores.,"No- She should also work, so that they will earn more money which will benificial for them.",
416,T3,,,No- Attitude of males are bad to look at fashionable cloths.,,,,,,,
417,T3,No- She is not getting enough love from her husband.,,No- Its her right.,,No,No,,No,No,No
418,T3,,,,,,No- Beacause staying at home is not the way out of her protection. Someone should go along with her to drop her.,No- Both should work and run the house. ,No- Both should take responsibility of house and take care of mother.,No- Sarika's talent is wasting. She can open parlour near house and both can work according to their choice.,
419,T3,,,,,,,,,,
420,T3,,,,,,No- Rohan can go with her to protect her.,,,,No- Its ok if her brother dont go to play cricket one day. He should look at baby.
421,T3,No-  He should explain her.,,No- Answer is not written.,No- Answer is not written,No- Answer is not written,No- Answer is not written,No- She should have work.,No- She should assign household chores to both.,No- She need to tell that she also want to work.,No- Her brother can take care of baby.
422,T3,,,No- Because its her life.,,,,No- He should not think bad about his family. she wants to work for her family only.,No- Mother should assign work for everyone.,,No- They should allow her to go for trip.
423,T3,,,,,,,,,,
424,T3,,,,,,No- Her brother should go with her to drop her.,,,,No- They should allow her to go for trip.
425,T3,,,,No- He should talk to those boys.,,,,,,
426,T1,,,,,No- Both should do. ,,No- Someone should tell teachers.,,,No- Both should have work and earn
427,T1,,,,,,No- Girls shouls go wherever they wants to go.,No- Its wrong to harass women. Rohit should explain them. All women should considered as siters.,,,No Boys should do household chores and girls can work also.
428,T1,,,,,,,No- Agree with Vishal,No- she has right to aducation.,No- not cleared.,"No- Thoughshe is a girls, she has right."
429,T1,,,,No- Rohit should charge their complaint to their parents.For some days left their friendsip then they stop.,,No- She should go for Social event. Along with her brother should go.,,,,"No- If it is important for her to go to a trip, then she should send for it. Her brother can help her for this matter."
430,T1,,Yes- Because son cant seen while his mother beat up by someone. If there is a major injury.,,No- He should complain to their house. and tell their girl you should do this.,,No- Because someon can go with herself for programme and protect too.,"No-  Incase the shop doesnot have business one day what will they eat? So, both should work.",,,"No- Brother can skip his match, but trip only go once in a year. So disagree with her father."
431,T1,,No- Tushar should not separate his parents. He should make his father understand.,,,No- Sushil is still small. right now he likes to play with dolls but may be as he grow up his likes will be change.,,,,,
432,T1,,,No- Gauri has right to wear whatever cloths. Its not her fault.,No- Instead of being quite shohib should talk to his friends.,No- Sushil is small. His likes dislikes can be changed according to time.,,NA,,No- Sarika should work so that it will be helpful for her family.,NA
433,T1,,Yes- Because he loves his mother.,,,,No- Send her to school and outside.,No- Both should have earn more money.,,,No- Both should take care of child.
434,T1,No- They have been married since 10 years. But she cheat him. Still he should not hit her but explain her.,,No- Its not Gauri's Fault. She has to learn about fashion.,No-  Rohit should complaint to their parents.,No- Answer is not clear.,No- Priya should go to social programme. She can learn something.,,No- Girls should get education.,,No- Manish's brother can take care of baby child.
435,T1,No- Suresh should have trust on Vinita.,,,No-  Rohit should complaint to their parents.,,,No- he should send her for work.,No- If he will not work now then he cannot listen mother's work.,No- He should give her permission to work according to her choice.,No-  Her elder brother can take care of baby child.
436,T1,,,,,,No- She should not be ristricted. Everyone should try to stop harassment.,No- Everyone should earn money it willbenificial for house.,,,No- She has right to education and go out. Working in home is everyone's responsibility.
437,T1,No- Its wrong to inflict violence. But she should have also been sincere,No- Everyone have workpresure. But inflicting violence results bad.,,No- He should take help from other boys from bus. He is doing good job.,,,,No- She is mother of four children.so everyone should take care of her.,No- Both have equal responsibility.,
438,T1,,,,,,No- Give her courage.,,,No- Give her permission to start her business.,
439,T1,,,,No-  That girl should break friendship with those boys.,,,"No- Because madhuri is married, she gets promoted, should go for job.",No- Bothhave to talk to mother. both should go to school.,,No- Seema has to go to school.
440,T1,No- he should not hit vinita.,,No- She has right to wear whatever cloths.,No- He should explain his friends.,No- Sushil will behave good when he will grow up.,No- She should go for function.,"No- Madhuri should do business, Anil should let her do job aso.",,,
