"Explanation is related to equality  (Example: Both should do housework, both should work) and prevention of violence and discrimination but not complete or coherent ",,,,,,,,,,,
"Through the explantion the participant acknowledges that a social norm exists but does not challenge the social/gender norms (Example: Boys can look after the child, boys should be given household work)",,,,,,,,,,,
Explanation uses the rights language (Example: right to life) but it is not related the scenario ,,,,,,,,,,,
The participant provides an a action oriented explanation for stopping violence but does not answer the 'why' for stopping violence (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
297,T2,"No, she does not deserve to be hit. First he should ask his wife otherwiswe her human rights are gone ","I disagree with Tushar, Tusharś mother has the right to go to the village. But if she does not want to go she should not go.  ",,,,No this is not the way to protect her because how long can you can keep her in the house. She has the right to go out,I disagree with Vishal because women have the right to work. Whether it is a man or a woman both have the right to work ,I disagree with the mother because Roshni has the right to work and household chores is both man and womans ,I disagree with Vishal because Sarika has the right to work. Women have the right to work ,I disagree with the father becasue Seema right is being taken away. Her right to movement is beig taken away. And discrimination between man and woman is being seen here 
298,T2,,,,Shohib should not remain quiet because what he is doing is good. They are not getting the right to life,I disagree with his parents because he is 10 years and he has the right to live ,No this is not the only way to protect her because she has the right to live,I disagree with Vishal because she can work and she has the right to live,I disagree with the mother because the work shoud be distributed between mother and son ,I disagree with with the husband because she has the right to live,I disagree with the father because she has the right to go out 
299,T1,,,It is not Gauri's fault. Everyone has the right to wear what they like ,,,,"No, I disagree with Vishal because like men women can also fuflfill household responsibilities",,,
300,T1,,,,,,,,,,
301,T1,,,It is not Gauris fault because she can wear whatever she wants,,,,"I disagree with Vishal, she should worl both can earn money ",,,
302,T1,,I agree with Tushar because his father is beating his mother hence they should leave the house ,It is not Gauris fautlt because if boys can wear shirts and pants girls can also wear it,,I disagree with the parents because he can play with whatever he likes,"No, it is not the only way to protect her because she has the right to freedom ",,,"I disagree with Vinod, because she should work. Both man and woman can work ",I disagree with the father because bothe girls and boys ahave equal right to freedom 
303,T3,,,,He should not remain quiet becasue shohib should leave his friends and they are bad people. He should make a complaint to the school teaschers and others,,,,,"No, I disagree with Vinod because Sarika has the right work as per her wishes. She shoulld open the beauty parlour",I disagree with the father becasue Seemas brother can also take care of the baby 
304,T3,,,No it is not Gauris fault because she has the right to wear any type of clothes ,No I disagree with his parents becasue if he like it he should play ,,No this is not the only way to protect her becasue if the boy can go out then the girl too can go out,No I disagree with Vishal because if Madhuri works she can economically help out with her husbands shop ,No: I disagree with the mother because Roshni and Arun should be given same work/household responsibilities,,No I disagree with the father becassue her brother and father can handle the younger sibling. She should go for the trip 
305,T3,,,No it is not Gauris fault because she has the tight to wear clothes of her interest,,,,"No I disagree with Vishal, Madhuri has a right to work because if they both work then they household income will grow",No I disagree with the mother because if she want to study her brother should help in household work. This time she will get time to study,,
306,T3,,"Yes, I agree with Tushar because how much more violence can she bear?",No it is not Gauris fault because she has the right to wear clothes ,,,,No I disagree with Vishal because both have the ability to run a home ,No I disagree with the mother because both should get equal responsibitly ,I disagree with Vinod because this is both their responsibility ,I disagree with Seema because she has the right to freedon 
307,T3,,,,,"No, I disagree with his parents because Sushil has the right to play with his sisters and the doll",,,,,
308,T3,,"Yes, I agree with Tushar because Tushars father is beating and insulting Tushars mother",No it is not Gauris fault because Gauri has the right to wear whatever clothes she wants,"No he should not remain quiet because his friends stare at the the girls, follow them around, criticise them and speak rubbish and all this is wrong",,,I disagree with Vishal because she has the right to work ,,No I disagree with Vinod because she has the right and both have equal rights ,
309,T3,,,,,,,,"No, I disagree with the mother because not just girls boys should also work ",,
310,T3,,,,,,,,,,No i disagree with the father because the gir also has rights 
311,T3,,Yes I agree with Tushar because no boy can tolerate violence against his mother ,No is it not Gauris fault because everyone has the right to wear clothes ,Shohib should not remain quiet because what his friends did is not right,No I disagree with the parents because he has the right to play ,,,,I disagree with Vinod because their work can also be swapped ,
312,T3,,,I disagree. Gauri because she has the right to wear any clothes ,,I disagree with the parents because the boys rights have been denied ,,I disagree with Vishal because both have a right to work ,,No I disagree with Vinod because that womans right is denied,I disagree with the father because she has the right to go out 
313,T2,,,,He should not remain quiet because in front of his eyes girls are being violated and he does not like it,No I disagree with his parents because he is small and he has the right to play with whatever he wants,No this is not the solution because she has the right to move ,,,No I disagree with Vinod because she must have liked doing the course. She has a right to do outside work ,
314,T2,,,"No it is not Gauris fault because she should stay how she likes, she has all the rights",,,,,"I disagree with the mother, work should be given to the borther ",I disagree with Vinod because she should open her company ,
315,T2,No she does not deserve to be hit because she has the right to have an affair,,,,No i disagree with the parents because he is 10 years old and he used to playing and he has the right ,,,,,
316,T2,,,,No he should not remain quiet because he should tell them to behave properly and not harass girls ,,,,I disagree with the mother because doing work is not only the job of the girl. Every one should do work ,,
317,T2,,Yes I agree with Tushar because women should not tolerate violence,No it is not her fault because just like boys wear fashionable clothes gilrs also have the right to wear fashionable clothes ,No he should not remain quiet because he feels that injustice agianst the girls should stop,No I disagree with his parents because there is no fault of his ,No this is not the way to protect her because she has the right to move freely and she should call the police,No I disagree with Vishal because women too can stand on their own feet and earn money. Madhuri should  not stop working ,No i disagree with the mother because boys too can look after children ,No I disagree with Vinod because not only men can earn money and women have to look after the house,No I disagree with the father because she does not have the right to move freely 
318,T2,,"Yes i agree with Tushar because Tushars father comes home tired from work criticises his mother, eats and insults his mother. This does not sit well with Tushar ",,No he should not remaon quiet because he should tell his friends that what they are doing is wrong. His friends are teasing girls and harassing them and they should not do it ,,No it is not the solution because Priya wants to go for her college trip. But her brother wants to keep her at home to protect her. This is not  the solution ,,No I disagree with the mother because the household chores are everyones work. The mother should have given work to the brother as well ,,
319,T3,,,"No gaury at mistakes, because she wear the short clothes because she like it.",,,"No, staying at home its not the best option for safety, because she also go out side. its a discrimination.","no, vishal was wrong, because she can work.",,,"no, not agree with seemas father because seema's brother can take care take care of his younger brother."
320,T3,"No, she not deserve to hit, because she have freedom to talk.","no,agree with tushar,because his father is not good person.they hit his mother.",,"no, shoyed not be quiet, because he must to explain his friend that please dont do teasing. its not good.",,,,"No, mother decision was wrong because she have right to live and mother can talk his son.","No. not agree with vinod, because and and women both can work.",
321,T3,,,,,"No, not agree with parents. because sushil is younger now so he can play with toyes. he not get human rights.",,"No,Vishal need to understnad that both will do work then our family will good conditions.and also children education done.",,,
322,T3,,"yes, because if voilenece is happend with tushar mother no that tome tushar should tell his father should not be betten. live with happy and love.",,"no, every one should tell those friends shoaib should tell them once and affter that its happend the told to the school.","NO, he is still small and he can also play . he has the right to play.","No, she should be allowe to o to the program and she can go.",,"No, because both of them can dp house hold chores nad mother should  be said / told both of thrm to do houses hold chores.",No. Sarika has the cource althought she can do the business they should taken every things for their famuly house.,"No, because if seem's brother does not play cricket it is ok and she can go for trip. the father should tell the brother that his sister going to trip and for that he need to take care of his small sister."
323,T3,,,,"NO, soyeb said right, if you had a sister in the place where you wonted to tell friends, you would have been very angree girls do not wont to leave.",,,"No, madhur should work she should do howwvwr for the family. shops get enough money.",,"No, Because sarikas course has been completed both should work.","No, because seema's brother playing cricket it is necessarry to look study and at home. the sister is going for a trip. he does all the work in the houses."
324,T1,,,,,,,,,,
325,T1,,,,,,,,,,
326,T1,,,She can wear clothes of her choice. It is the boys' faults. ,,"If he has to play with his sister, then what will happen if he plays with dolls.",,,,,
327,T1,,Father abuses his wife.,,,He likes to play with the dolls. they are not letting him do that,,,,She likes to work. She should work. Her husband is not giving her option,She should go for picnic and brither should take care of younger sibling
328,T1,,,,,,,,,,
329,T1,,,,,,,,,,She should go for picnic . Brothers can give cricket and miss and take care of younger sibling.
330,T1,,He insukts his mother. Mpther is used to it. I agree,,,,,,,,
331,T1,,,,,,,,,,
332,T1,,,,,,,,,,
333,T1,,,,,,,,,,
334,T1,,,,,No because if Vishal likes to play with dolls then he should be allowed to do so.,,,,No because Sarika should do as per her wish.,
335,T1,,Yes because father hits his mother everyday.,,,,,,,,
336,T1,,Yes because Tushar;s father hits his mother everyday.,,,,,,,,
337,T1,,,,,,,,Noi because this is discriminatory. Both of them have the right to study.,,No because even boys can take care of babies.
338,T1,,,,,,,,,,
339,T1,,,,,,,,,,
340,T1,,,,,,,,No because both should work and study.,No because Sarika should start business because she really wants.,No
341,T1,,Yes because Tushar's father hits his mother everyday.,,,,,,,No,No 
342,T1,,,,,,,,No because both should work and take care of one another.,,
343,T1,,"Yes, because Tushar's father should not harrass. He should not take out work frustration at home",,,,,,,No,
344,T1,No because everyone has a right to take their own decision,,,,,,,No because there should be no discrimination between girls and biys- they can both taker care alternatively,,
345,T1,,,,,,"No, girls have the right to go out. They should be allowed to go out in the evening.",,,"No, because Sareeka has right to work and travel the world",
346,T1,,,,,,,"No, because if Madhuri works in good company with good education, then it should not be said that earn more money",,,"No, because her brother can take care of the baby."
347,T1,,,,,,,,,,
348,T1,,,,,,,,,,No
349,T1,,,,,,,,,,
350,T1,,"Yes because if he loved her, he would not hit her.",,,No because nothing is based on what you play,,,,,
351,T1,,,,,,,,,,
352,T1,,,"Yes, because its not Gauri's fault but the boys' attiutudes.",,,,,,,
353,T1,,,,,,,,,,
354,T1,,,,,,,,,,
355,T1,,,,,,,,,,
356,T1,,,,,,,"No, because Anil does not have to feel this. He earning less tan her. They both shall earn money","No, because they both should study and take care of baby. There is no discrimination between the two.",,
357,T1,,,,,,,,"Yes, because they both go to school. No discrimination . It means Roshni also does household chores.",,"No, because she is only a girl- thats why. She is also right. Brither can take care of the child."
358,T1,,,,,,,,,,"Yes, because her brother instead if going to play cricket, he should take care of baby."
359,T1,,,,"No, because Shoaib should explain them frequently. Even if they do not understand then he should atke help of elders.",,,"No, because Madhuri should work also. Its our right to work and what we wish to do.",,"No, because she should act as she wishes and she should work.",
360,T1,"No, because Vinita has rights. SHe can do what she feels like.","Yes, because I agree with Tushar. Father hits mother- Tushar wants to save his mother.","No, because its not her fault. She can do whatever she wants to. SHe has her own rights.",,"No, because whatever Vishal wants to be, he should be. It is his life.",,"No, becase Madhuri should say she can work and earn more money. She can also manage household expenses. She should not stop. ","No, because mother thinks h will grow up and earn money. But Roshni can also study and make family proud.","No, because arika should tell we bith can work and earn. Even I have the right to live.",
361,T1,,,,,,,,,,
362,T1,,,,,,,,,"No, because she should work. Both can take care of kids.",
363,T1,,,,,,,,,,"No, because only girls should not take care, evem brother and father can take care. She should be allowed to go for picnic. "
364,T1,,,,,,,,"No, because boys and girls are equal.",,"No, becaus egirls continuosly did household chores and they dont get holidaays from this. Thats why she should go for a trip. Her brother can take care of the baby."
365,T1,,,,,"No, because if he plays with his sister he can learn new things.",,,,,
366,T1,"No, there can be other way also and by this Vanita can deicide herself. So Suresh should not hit her.",,,,,,,,,"No, because he should treat them all equally."
367,T1,"No, because she should tell her husband that she doenst want to live with him and ask for divorce.","Yes, becasue she should not beat her nor she should be beaten.",,,,,"No, because they should consider mrn-women as equal. Its important for them to get a job.",,,
368,T1,,,,,,,,"No, mother is discriminaing between Roshni and Arun.","No, Sarika should work and earn money and not stay home.","No, because Seema should be allowed to go fpor picnic. Elder brother should be asked to take care of baby."
369,T1,,,,,,,"No, because Madhuri should work and earn money. She has the right to work.","No, because mother is discriminatory between Roshni and Arun.","No, because she should work and go out. She shouldnt stay at home,","No, because Seema should be sent for picnic. ELder brother can take care of younger brother"
370,T1,,,,,I disagree to this because its his life and his choice.,"No, because is also she is a girl, she has talent and she should show it to the world. Nobody has the right to stop this.",,,,"No, because she should also get the same amount of freedom that boys are getting."
371,T1,,,,,,,"No, because women have the right to live. SHe is independant and Anil should not stop her.",,,
372,T1,,,,,,"No, because they can also complain to the police. Just sitting at home is not good.",,,,
373,T1,,,"No, because Gauri likes to. She did not call for the harrasment. She doesnt wear clothes to attract anyone or make friends jealous.",,"No, he is 6 yeras old. Its the age to play. If he plays with his siter then no one will have a problem.","No, because if the brither accompanies then she will be safe and also feel happy that her brother is with her.",,"No, Arun is older brother, He should also work. Roshni cant do all by herself- evem she has a future. Mother should understand this.",,
374,T1,,,,,,,,,,
375,T1,,,,,,,"No, because if mena dn women an both work then why shouldnt Madhuri work.",,,
376,T2,"No, Suresh should have not done this and not suspected her. Seeing this he should have thought about the future",,,"No, Shoaib should explain to them once, else he should complaint as this is wrong.",,,,"No, because only Roshni should not be given all the load, her brother should also be given some work and Roshni should also study.",,
377,T2,,,"No, because everyone has to right to roam wherever they want and wear whatever they wish to","No, it is wrong to tease about gender related matters and because everyone has a right to roam",,,,"No, it is not that only girls must work; both must work and everyone has a right to education","No, Sarika should freely do the parlour course. Everyone has the right to work freely",
378,T2,,,,,,"No, she should go for the programme as it is her wish","No, because her salary increase is a good thing and she should continue working","No, because even guys should do house work","No, because she had a dream from the first itself. Today's girls work outside",
379,T2,,,"No, Gauri has a right to wear and do whatever she wants","Shoaib should repetedly tell his friends, and his friends will surely listen","No, his parents are making a mistake",,,"No, both of them should be given equal work in the house",,
380,T2,,"Yes, because she is being beaten up",,,,,"No, because if both worked, there will be more money coming into the house","No, because Roshni should also study and Arun should also help his sister in doing the work.",,
381,T2,,,,,,,"No, because Vishal and Madhuri, both should be working",,,
382,T2,,,"No, she should complain in the police and put those boys in jail according to me",,"No, I thnk that he likes to play and its his wish whatever he wants to play",,,,"No, I think that both should work together",
383,T2,,,,,,,"No, because both should work","No, because even he should help his mother and take her to the doctor",,
384,T2,,,,,,,,"No, because Arun should look after his younger sisters along with studies. What all will Roshni be able to do by herself?",,
385,T2,,,,,,,,,,
386,T2,,"Yes, because his father beats his mother",,,,,,"No, because Roshni should also study and Arun should also help his sister in doing the work",,
387,T2,"No, because Vinita has a right to get her own rights",,"No, because we are free to do whatever we want",,"No, because it is his right to play as his wish.",,,,"No, because girls also have dreams and her husband should also support her in doing the course",
388,T2,,,,,,,,"No, because both should get equality. Arun can also look after the baby",,"No, because girls should also get their rights. She should be allowed to go for the picnic. Their teachers will take them and bring them back safely. And her brother can also look after the baby."
389,T2,,,"It is not the fault of Gauri, instead it is the fault of the guys. They will tease girls no matter what clothes the girls wear.",,,,,"No, her mother should give both of them equal work",,
390,T2,,,,,,,,,,
391,T2,,,"No, because even girls have an equal right like guys to behave, speak or roam as they like",,,,,"No, because Arun is a guy, thats why his mother doesnt give him any work",,"No, her parents discriminate between man and woman ie boy and girl"
392,T2,,,,,,,,,,
393,T2,,,"No, because just like men, women too have the right to wear what they wish to.",,,,,,,
394,T2,,,,,,,,,,
395,T2,,"Yes, because he is removing all his work frustration on her","No, because it is her wish to wear whatever small clothes she wants to, why are others getting jealous.","No, Shoaib should raise his voice to not harrass and that this is wrong and that they will be at a loss",,"No, it is her programme so she will go. Whatever has to be done is her business",,"No, if mummy has fever, then her brother should also help","No, it is her dream, but to stop her is wrong",
396,T2,,,,,,,,"No, because even girls have a right to study. Arun must also be given some household responsibilities",,
397,T2,,,,,"Yes, he should play as per his own wish",,,"No, alone Roshni will not accept the household work. The work should be done by both",,
398,T2,,,"No, she wears fashionable clothes because she likes it. It is not Gauri's mistake","No, Shoaib should oppose them",,,,,,
399,T2,,,,"No, because she is also someone's sister or daughter, so harassing her is wrong",,,,,,
400,T3,,,,,,,No- Nisha should work.,,,
401,T3,"No- Voilence is not solution in this case. There are so many alternatives, e.g. communication and getting reason behind it.",,,"No- Because if he remains quite, his freinds will tease that girl more. He should tell those boys that if she would have your sister would you like this kind of things happened with her?",,,No- If both are earning more money they will have. Women also have right to work.,,,"No- Its ok if her brother dont play cricket for one day, he can take care of baby."
402,T3,,,,,,,No- If both are earning more money they will have. Women also have right to work.,No- Roshani has right of Education. Arun also can do house work. ,,
403,T3,,,No- Because gauri likes to wear fashionable cloths. She can do what she wants. She can wear cloths as per her choice.,No- He should not keep quite. He should explain his freinds how its wrong. ,,No- Everyone has right to loiter. Priya's right should not be restricted. ,"No- Both Men & Women have right to work. If vishal's earning is not sufficient, Madhuri can help him.",,,
404,T3,,No- Voilence is not solution.,,No- He should talk to his freinds. He can ask help from his parent and teachers. He can explain those boys that those girls are like sisters & friends.,No-  He is a small boy.,,,,,No- She can go to trip.
405,T3,,,No- If she likes to wear fashionable cloths she can wear. If anyone is teasing her she can complaint to police.,,,No- her brother can go with her to drop her so that no one can tease her.,,,,
406,T3,,,No- If she likes to wear fashionable cloths she can wear. After marriage she will not get a chance to wear cloths according to her choice.,No- Shoaib should talk to his friends and explain them. He also should tell about this matter to parents of those girls.,,,No- Because Madhuri wants run her house on her own. If she works they will get more money.,No- If Roshani complets her education it will be very helpful for them. She can do household chores after she came to home.,,No- Her brother can take care of baby.  Seema wants to go just for one day.
407,T3,No- Suresh should not be voilent with Vanita and he should ask her with whom she wants to live,No- Tushar and his mother should go to another place.,No- Gauri likes fashionable cloths and she must use it. she should complaint about boys.,,No- Sushil is 10 year old so he dont know how to behave.,,No- Girls are ot less than boys. they can work.,,No- Her brother should have help her.,
408,T3,,,No- Gauri has right to wear cloths as per her choice.,,,,,No- Girls have right to education.,,No- She has right to decide where she want to go.
409,T3,No- Voilence is not solution. Rakesh should explain her. If she does not like ramesh then she should tell him and marry with another guy.,,,,,,,,No- If sarika works they will have more monery. He should not go against her decision.,No- Sima should go to picknic. Her Father and brother can take care of baby.
410,T3,,Yes- Because voilence is happening from his father.,,,,,,No- both are responsible to take care of siblings.,No- Everyone has right to work.,No- Everyone should take care of house.
411,T3,,,,,,No- She has right to decide what she wants to do and where she wants to go.,No-  both should run house equaly with understanding so that conflicts will reduce.,No- Distribution of work among two is better solution.,,
412,T3,,,No- Every woman has right to wear cloths according to her choice.,,No- Parents are discriminating.,,No- Every woman have rights. She should work as per her choice.,No- Arun should have work.,No- Sarika has right to work.,No- Her brother can take care of baby and she can go.
413,T3,,,,,,,,,,
414,T3,,,,,,,,,Every girl have right to live life as per her choice.,
415,T3,No- Its not her fault. She should not be beaten.,,,No- He should tell his friends not to tease girls.,No- Because he is small and he has right to play with toys of his choice.,No- Her brother can go with her.,,,,No- Sima's brother should take care of baby instead of playing cricket.
416,T3,No - Everyone has right to live their life as per their wish. But here Vinita is wrong. ,,,No- He should compalin teachers & principal,,"No-If girls stay at home, development will stop. so brother should pick up and drop her.",No- Madhuri should explain her rights to Vishal.,No-  Importance of women should be explained. ,No- Everybody has right to live equally. If both are earning family will happy.,No- Beacause trip is once in a year. Brother can play cricket any time. He can take care of baby.
417,T3,,,,,,,No- Woman is not less than man. She is equal.,,,
418,T3,,No- They should communicate with each other and have alternative.,,No- Because his thinking is right. He should tell those boys to explain.,,,,,,
419,T3,No- After 10 years of marriage he  dont understand his wife.,,No- Because its her right.,No- He should not keep quite. He is right. He should explain his friends politely.,No- Bacause he is small. Once he entered in adolescent stage his thinking will change.,No- Women Have right to take decision. Insisting her to stay at home is not the solution.,,No- Because Man & Woman are equal. So they should treated equally.,No- Gender Discrimination is main reason behind it. ,No- Here also gender discrimination is the reason.
420,T3,No- He should communicate with her and explain her that she is wrong. ,Yes- Tushar is right. ,No- Because its her right. Neighbours should talk to boys.,No- Respect of girl is more important than friends.,,,,No- Her brother can work in house while his mother is not feeling well. Its not fair that only girls has to do household chores.,No- Its her dream so she should complete it.,
421,T3,,,,,,,,,,
422,T3,No- Because he should not hit her.,,,No- He should go to police or tell that girl's family.,No- He can play with anything what he want.,,,,No- Vinod should have encourage her.,
423,T3,No- He should understand her. And he should explain her.,,,,,No- She has right to go.,No- She should work and should not stay at home only.,No- Should tell to both to work.,No- She should tell him that its her right.,No- Bot shoul do household chores.
424,T3,No- They should communicate with each other.,Yes- Because tushar's mother would not have go through voilence.,No- She has right. She can wear cloths as per her choice.,No- He should tell his teachers.,,,No- Both should have work.,No- Both can take care of their sisters.,No- Vinod should support her to start parlour.,
425,T3,No- It can be solved with discussion also.,No- Because family is important. Even if he hits her he is her husband.,No- Its her right.,,,,No- Because vishal is jealous about madhuri. Because she is earning more than vishal.,,,
426,T1,,,No- Boys are wrong because they stair her.,No- He is small so he should play.,,,,No- Both should have take care of home equally.,,
427,T1,,,,,No- This should never happen. Boys should also take care of household chores.,,,No- He should let her do her work. Both should do household chores.,No- Boys shoul do household chores also. They should help girls.,
428,T1,,,No- Because she loves to wear short cloths.,No- Agree with rohit.,No- He is in age to play.,No- Her brother should go with her.,,,,
429,T1,,"Yes- No matter how much he work, how much he tired but the insult of his wife, its totaly wrong.",,,No- He is a small baby. He should play at this age.,,"No- Vishal should co0operate with Madhuri, as even take care of her problems.",No- Only Roshani should not given the work. Arun should also help for household chores. Neha should sent to school.,,
430,T1,,,,,,,,No- Both should distribute their work. Arun should do more work and take care of mother.,No- Girl have right to do job. Both should do job and balance the house.,
431,T1,No- Suresh should not have hit her but discuss with her.,,,,,No- Staying at home is not solution for her. She should allowed to go out.,No- Madhuri also has right to work. Vishal is wrong.,,No- Women should work. They should allowed to work.,No- Seema should allowed to go to trip. Her brother can take care of baby.
432,T1,No- Priyanka is wrong. But Suresh should ask her reasons without hitting her.,No- Tushar should take care of his mother and expalin his father.,,,,,,No- Everyone should do household chores. Its wrong that only girls are doing household chores.,,
433,T1,No- Love is natural thing. It is not a crime.,,,No- Its wrong to tease the girl.,,,,,,
434,T1,,,,,,,,,No- Vinod should help her to start business. Then they will get honor.,
435,T1,,Yes- He should not insult Tushar's mother.,No- Gauri should complaint to police.,,"No- He is small kid, he love to play with dolls.",No- Girls can protect theirself.,,,,
436,T1,,,No- Our view to look at her is dirty. We cannot tell her which cloths she should wear.,No- He should take help from others and try to stop harassment.,No-  He is a small kid. He will change over the period of time. We should not teach him all since now.,,,No- Everyone should take care of mother. Roshani is not one and only. She should also get free time.,,
437,T1,,,No- She should be allowed to wear cloths according to her choice. Its her right.,,"No- He is small kid, he like to play with dolls.",,No- Both have right to work.,,,No- She should let go to trip. 
438,T1,No- She must had forced to marry with him so she has in affair with another boy. Its wrong to hit her.,,No- She love fashion. Its wrong to tease her.,No- Stalking & teasing is wrong. Explain to their friends.,"No- If he loves to play, do not force him.",,No- Both can work dont discriminate.,No-  Boy and girl should be equal.,,No- Girls & Boys are equal do not discriminate them.
439,T1,,,,,,,,,,
440,T1,,,,,,,,No- Both should do equal work at home.,"No Sarika should explain him that its their house, they will have more money.",No- If sima wants to go they should let her go for trip.
441,T1,,,No- Gauri wears short cloths so they tease her. Its not her fault.,,,,,No- She should distribute work among Roshani and her brother.,,
442,T1,,,,,,,No- Madhuri should work. Anil has shop. She should let go to her job.,No- Both should do equal work at home.,No- Sarika should explain to vinod. Its their house and they will earn more money.,
443,T1,No- Its natural thing to love.,,,,,,,,,
444,T1,,,,,,,,,,
445,T1,,,,,,,,No- She should give them equal work & time to study.,,
446,T1,,,,,,,,,,
447,T1,No- What is wrong if she loves neighbour? Its not crime. So being violent is not right.,,,,,,,,,
448,T1,,,,,,,,,,
449,T1,,,No- She has right to wear whatever cloths.,No- Teasing is wrong. We should get together & stop it.,,,,,,NO- Baby can be taken care of by both & other members of family.
450,T1,No- Priyanka is wrong. But still beating her is not right. She should get chance to explain why she did that.,No- Tushar is right. Still his mother should try to explain his father.,No- Its not her fault. Boys tease her because of her cloths. Its fault of those boys who's approach is not good.,,,No- Seema can protect herself.,No- Vishal is wrong. Madhuri wants to work so she should get chance.,No- Because Roshani also wants to learn. Her mother should ask to do household work to Roshani & her brother equally.,No- Sarika should have apportunity to work outside. Its important.,No- Sima's father should ask her brother to take care of baby. He can do that.
451,T1,,,,,,,No- Madhuri can fulfill needs of house.,,,No- Seema's brother can take care of baby.
452,T1,,,No- She has freedom & right to wear whatever cloths.,,No- His parents are not giving him rights to live as per his choice.,,No- She also feel like working. And she has right to work.,,,
453,T2,"NO,This not right to beat her.might be mahesh cant fullfill wrong to have affaire",,Yes.this is not fault in her should have change the  boys attitude not to change her dressing,,No ... if he feel happy then let him do that he has right to enjoy his life.he is only 6 years old by the time he will change,Yes she has to right according to her choice.her brother can go with her,Both should equally fullfill the family needs she has right to work according to her choice,,Yes.she can fullfill the family needs she has right to work as per choice,yes.if she want to go anywhere then she have to allowed to go.and his brother can stayhome and taking careof child responsiblity
454,T0,,,,,,,,,,
455,T0,,,,,,,,,,
456,T0,,,whichever dresses she weared boys will  tease her usde to change the boys point of view towords the women yes,,yes he is small.over the period of his choice will change ,,,,,
457,T0,,,,,,,,,,
458,T0,,,no do not leave them they also have right,,,,,,no she can also outside workk,
459,T0,,,,,,,,,,
460,T0,,,,,,,,,,she heve to allowed to go picnic and he heve to take care baby
461,T3,,,,,no Akash can be palying with girle and boys,no Because she has to right to go anywhere,no its worong in saying she should work,,no mahendra should not discriminate he can also go out work mahesh saying wrong,no because she have to go on picninc and her brother can working in kitchen
462,T0,,,no beacause she has right to fashion ,,no i think mother and  father love him  ,,,,,
463,T1,,yes because he beats her ,,,,,,,,
464,T0,,,,,,,,,,
465,T2,,,"No - Because she can wear whatever she wants and nobody can tell her otherwise, boys troubling her is wrong.","No - Because they have no right to tease the girls, how will they feel if someone teases their sister and what they said to Shohib is wrong. ",,,,"No - Roshni too can go to school, her younger sisters can go to playschool.",,
466,T2,,,,,,,No - If Vishal's shop shuts down by chance where will the money come from for the house. Madhuri should explain this to her husand and her family. ,"No - Household chores can be done by both of them, if they do the work together then they will save time and they will also be able to pay attention towards their mother as well as their studies.",,"No - because the brother can play cricket everyday, but picnics happen once in a while and the brother can also look after the younger sibling. Also Seema too should've demanded to her family and brother to let her go."
467,T2,"No - His wife must love him because it cannot be one person's fault, just like you cannot clap with one hand he is not the only one in love.",,,,,No - She is safe because she roams around with her friends.,,No - Because her brother should stay at home and look after her sisters and the chores too.,,No - Because a picnic happens only once and the chance to go will not come again. Her brother can stay at home for one day and look after the younger brother.
468,T2,,,No - She likes small and big clothes and she has the right to.,"No - What he is saying is correct, he should not stay quiet.",,No - Priya has the right to get out of the house and if she learns karate then she can also beat up the boys.,No - She also has the right to work. She should explain to Vishal that they both can work and earn more money.,No - Her brother can cook too and she should also get to study. ,No - She should explain to Vinod that she has done a beauty parlour course and she too can work.,
469,T2,,,"No - Becuase she has the right to independence, she can wear whatever clothes she wants.",,,,,,No - Sarika has the right to work.,Instead of going to play Seema's brother can take care of their younger sibling for one day.
470,T2,,,"No - Gauri likes to wear fashionable clothes, she is fond of wearing jeans, short skirts, dresses and t-shirts and she wants to learn about fashion. When she goes out on the road boys whistle at her, but she has the right.",,,,No - Vishal and Madhuri are married but both of them should work.,,,
471,T2,,,,No - He should explain to his friends. He should also tell the teachers in school.,"No - Because it is his right, you had given him dolls when he  was younger and maybe his father too played with dolls when he was a child.","No - Becuase it is her right to go out in the evening, and instead of sending her alone her brother can accompany her.",,"No - Because it is her right to study, Arun too should be told to do the household chores.",,"No - Because Seema's father tells her that she alone can look after the child, he should also not send the brother."
472,T2,,,No - She should wear the clothes that she likes and should lodge a police complaint,,No - Sushil should be taken to the garden or for a picnic.,,"No - Both of them should work, she has the right to work.",No - The chores should be divided between the two of them so both can study.,No - She should tell him that he shouldn't go to work and should take care of the house while she goes out to work.,No - Her younger brother can be kept in a day-care. 
473,T2,,,"No - Gauri buys her clothes with her own money and wears them, the boys on the road have no right to say anything to her, she should not pay attention to them.","No - Shohib should try to explain the problem to his friends really well, then his friends will listen to him and he should not pay attention to their teasing.",,No - Priya's brother can drop her off at the program and get her home once it is over. This can turn out to be a safe solution.,"No - Vishal should let Madhuri work as one person's income cannot suffice for monthly expenses, if money is spent from both their incomes they will have money in times of difficulty.","No - Roshni's mother should send her to school too, because girls too can study and do well in life.",,
